"Step","OIALR MSE","OIALR MSE__MIN","OIALR MSE__MAX","OIALR Trainable Parameters","OIALR Trainable Parameters__MIN","OIALR Trainable Parameters__MAX","Baseline MSE","Baseline MSE__MIN","Baseline MSE__MAX"
"0","0.42081456383069354","0.4182893633842468","0.42325448989868164","47.856585929012276","47.72541282515167","48.00841646367498","0.42009838422139484","0.4189612865447998","0.42147740721702576"
"1","0.4201299051443736","0.4191987216472626","0.42139923572540283","37.24542682285456","37.147198050444686","37.29522926284196","0.427738477786382","0.4224439561367035","0.4334082007408142"
"2","0.4228804409503937","0.41721877455711365","0.4301672577857971","22.066324525200972","22.053528306580063","22.089231180091957","0.44902976353963214","0.4348524510860443","0.4631030857563019"
"3","0.42953526973724365","0.41484808921813965","0.4436229169368744","7.132058652804614","7.123026958326813","7.147322374645379","0.47298169136047363","0.46942806243896484","0.4776667356491089"
"4","0.42587611079216003","0.41211816668510437","0.4454614818096161","3.2447350994519266","3.2363677327640867","3.2592395895327377","0.47002410888671875","0.47002410888671875","0.47002410888671875"
"5","0.4221514364083608","0.4120013415813446","0.4366093575954437","2.989370660456657","2.981844775636101","3.002571802682878","","",""
"6","0.42555415630340576","0.4169045686721802","0.4400443732738495","2.983815614746318","2.978912242963274","2.9923791163054796","","",""
"7","0.4294351190328598","0.42386695742607117","0.43500328063964844","2.979177974079258","2.97880784859628","2.9795480995622365","","",""
"8","0.42600417137145996","0.42600417137145996","0.42600417137145996","2.9791400124912606","2.9791400124912606","2.9791400124912606","","",""
